Formal Name and Room,Street Address
Blue Phone 56 North Parkade South East Level 3,6115 Student Union Boulevard South East Level 3
Blue Phone 57 North Parkade South Entrance Level 3,6115 Student Union Boulevard South Entrance Level 3
Blue Phone 58 North Parkade South Exit Level 2,6115 Student Union Boulevard South Exit Level 2
Blue Phone 59 North Parkade North West Level 2,6115 Student Union Boulevard North West Level 2
Blue Phone 60 North Parkade North East Level 3,6115 Student Union Boulevard North East Level 3
Blue Phone 61 North Parkade South Side Rooftop Level 8,6115 Student Union Boulevard South Side Rooftop Level 8
Blue Phone 62 Rose Garden Parkade Elevator Level 5,6278 NW Marine Drive Elevator Level 5
Blue Phone 63 Rose Garden Parkade Elevator Level 4,6278 NW Marine Drive Elevator Level 4
Blue Phone 64 Rose Garden Parkade Elevator Level 3,6278 NW Marine Drive Elevator Level 3
Blue Phone 65 Rose Garden Parkade Elevator Level 2,6278 NW Marine Drive Elevator Level 2
Blue Phone 66 Rose Garden Parkade Elevator Level 1,6278 NW Marine Drive Elevator Level 1
Blue Phone 67 Thunderbird Parkade North West Level 1,6085 Thunderbird Blvd North West Level 1
Blue Phone 68 Thunderbird Parkade West Level 1,6085 Thunderbird Blvd West Level 1
Blue Phone 69 Thunderbird Parkade South East Level 1,6085 Thunderbird Blvd South East Level 1
Blue Phone 70 Thunderbird Parkade North East Level 1,6085 Thunderbird Blvd North East Level 1
Blue Phone 71 West Parkade North West Entrance Level 1,2140 Lower Mall 
Blue Phone 72 West Parkade South Level 2,2140 Lower Mall 
Blue Phone 73 West Parkade North Level 2,2140 Lower Mall 
Blue Phone 74 West Parkade North East Level 4,2140 Lower Mall 
Blue Phone 75 West Parkade South East Level 4,2140 Lower Mall
Blue Phone 76 West Parkade North Rooftop Level 11,2140 Lower Mall 
Blue Phone 77 Fairview Crescent & Osoyoos Crescent,Fairview Crescent & Osoyoos Crescent
Blue Phone 78 Osoyoos Crescent & Oyama Court,Osoyoos Crescent & Oyama Court
Blue Phone 79 Point Grey Apartments,Osoyoos Crescent & Salmo Court
Blue Phone 80 Osoyoos Crescent & Acadia Park Lane,Osoyoos Crescent & Acadia Park Lane
Blue Phone 81 University Blvd Lot Stairs 1,Blue Phone 81 University Blvd Lot Stairs 1
Blue Phone 82 University Blvd Lot Stairs 2,Blue Phone 82 University Blvd Lot Stairs 2
Blue Phone 83 University Blvd Lot Stairs 3,Blue Phone 83 University Blvd Lot Stairs 3
Blue Phone 84 University Blvd Lot Stairs 4,Blue Phone 84 University Blvd Lot Stairs 4
Blue Phone 55 Health Science Pkd Rooftop Level 5,2250 Health Sciences Mall
Blue Phone 85 Saltwater Orca House,5965 Student Union Blvd
Blue Phone 86 Saltwater Sturgeon House,5955 Student Union Blvd
Blue Phone 87 Saltwater Herring House,
Blue Phone 88 Saltwater Sea Otter House,
Blue Phone 89 Saltwater Octopus House,
